,AID,AID Version,AID Revision,Panel Member ID,SID,CID,Bioactivity Outcome,Target GI,Target GeneID,Activity Value [uM],Activity Name,Assay Name,Bioassay Type,PubMed ID,RNAi
10,922100,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: MCV (Ery. Mean Corpuscular Volume); Study_ID: S040609,Other,,
11,922101,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: EOSLE (Eosinophils/Leukocytes); Study_ID: S040609,Other,,
12,924779,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: BASO (Basophils); Study_ID: S040609,Other,,
13,924780,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: MONOLE (Monocytes/Leukocytes); Study_ID: S040609,Other,,
14,924781,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: NEUTLE (Neutrophils/Leukocytes); Study_ID: S040609,Other,,
15,924782,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: MONO (Monocytes); Study_ID: S040609,Other,,
16,924783,1,3,,174520288,7266,Unspecified,,,,,"DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: NEUTSG (Neutrophils, Segmented); Study_ID: S040609",Other,,
17,924784,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: MCV (Ery. Mean Corpuscular Volume); Study_ID: S040609,Other,,
18,924785,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: EOS (Eosinophils); Study_ID: S040609,Other,,
19,924786,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: MCH (Ery. Mean Corpuscular Hemoglobin); Study_ID: S040609,Other,,
20,924787,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: RBCNUC (Nucleated Erythrocytes); Study_ID: S040609,Other,,
21,924788,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: RBC (Erythrocytes); Study_ID: S040609,Other,,
22,924789,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: LYM (Lymphocytes); Study_ID: S040609,Other,,
23,924790,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: EOSLE (Eosinophils/Leukocytes); Study_ID: S040609,Other,,
24,924791,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: MCHC (Ery. Mean Corpuscular HGB Concentration); Study_ID: S040609,Other,,
25,924792,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: PLAT (Platelets); Study_ID: S040609,Other,,
26,924793,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: WBC (Leukocytes); Study_ID: S040609,Other,,
27,924794,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: BASOLE (Basophils/Leukocytes); Study_ID: S040609,Other,,
28,924795,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: HGB (Hemoglobin); Study_ID: S040609,Other,,
29,924796,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: LYMLE (Lymphocytes/Leukocytes); Study_ID: S040609,Other,,
30,924797,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: HCT (Hematocrit); Study_ID: S040609,Other,,
31,924798,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: BASO (Basophils); Study_ID: S040609,Other,,
32,924799,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: MCHC (Ery. Mean Corpuscular HGB Concentration); Study_ID: S040609,Other,,
33,924800,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: WBC (Leukocytes); Study_ID: S040609,Other,,
34,924801,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: EOS (Eosinophils); Study_ID: S040609,Other,,
35,924802,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: MONO (Monocytes); Study_ID: S040609,Other,,
36,924803,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: MONOLE (Monocytes/Leukocytes); Study_ID: S040609,Other,,
37,924804,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: RBCNUC (Nucleated Erythrocytes); Study_ID: S040609,Other,,
38,949258,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: BASO (Basophils); Study_ID: S040609,Other,,
39,949259,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: MCH (Ery. Mean Corpuscular Hemoglobin); Study_ID: S040609,Other,,
40,949260,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: NEUTLE (Neutrophils/Leukocytes); Study_ID: S040609,Other,,
41,949261,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: LYM (Lymphocytes); Study_ID: S040609,Other,,
42,949262,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: RBC (Erythrocytes); Study_ID: S040609,Other,,
43,949263,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: EOS (Eosinophils); Study_ID: S040609,Other,,
44,949264,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: MONO (Monocytes); Study_ID: S040609,Other,,
45,949265,1,3,,174520288,7266,Unspecified,,,,,"DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: NEUTSG (Neutrophils, Segmented); Study_ID: S040609",Other,,
46,949266,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: HGB (Hemoglobin); Study_ID: S040609,Other,,
47,949267,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: MCV (Ery. Mean Corpuscular Volume); Study_ID: S040609,Other,,
48,949268,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: RBCNUC (Nucleated Erythrocytes); Study_ID: S040609,Other,,
49,949269,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: EOSLE (Eosinophils/Leukocytes); Study_ID: S040609,Other,,
50,949270,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: HCT (Hematocrit); Study_ID: S040609,Other,,
51,949271,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: MCHC (Ery. Mean Corpuscular HGB Concentration); Study_ID: S040609,Other,,
52,949398,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: BASOLE (Basophils/Leukocytes); Study_ID: S040609,Other,,
53,949399,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: LYMLE (Lymphocytes/Leukocytes); Study_ID: S040609,Other,,
54,949400,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: PLAT (Platelets); Study_ID: S040609,Other,,
55,949401,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: WBC (Leukocytes); Study_ID: S040609,Other,,
56,949402,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: MONOLE (Monocytes/Leukocytes); Study_ID: S040609,Other,,
57,952647,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: ALT (Alanine Aminotransferase); Study_ID: S040609,Other,,
58,952648,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: ALB (Albumin); Study_ID: S040609,Other,,
59,952649,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: ALP (Alkaline Phosphatase); Study_ID: S040609,Other,,
60,952650,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: LDH (Lactate Dehydrogenase); Study_ID: S040609,Other,,
61,952651,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: LIPASE (Triacylglycerol Lipase); Study_ID: S040609,Other,,
62,952652,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: POTASSIUM (Potassium); Study_ID: S040609,Other,,
63,952653,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: AST (Aspartate Aminotransferase); Study_ID: S040609,Other,,
64,952654,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: BUN (Blood Urea Nitrogen); Study_ID: S040609,Other,,
65,952655,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: CREAT (Creatinine); Study_ID: S040609,Other,,
66,952656,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: PHOS (Phosphate); Study_ID: S040609,Other,,
67,952657,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: PROT (Protein); Study_ID: S040609,Other,,
68,952658,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: URATE (Urate); Study_ID: S040609,Other,,
69,952659,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: GLUC (Glucose); Study_ID: S040609,Other,,
70,952660,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: CHOL (Cholesterol); Study_ID: S040609,Other,,
71,952661,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: SODIUM (Sodium); Study_ID: S040609,Other,,
72,952662,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: CHLORIDE (Chloride); Study_ID: S040609,Other,,
73,952663,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: BILI (Bilirubin); Study_ID: S040609,Other,,
74,952664,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Single; Time: 1 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: CO2 (Carbon Dioxide); Study_ID: S040609,Other,,
75,952665,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: CHLORIDE (Chloride); Study_ID: S040609,Other,,
76,952666,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: BUN (Blood Urea Nitrogen); Study_ID: S040609,Other,,
77,952667,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: CHOL (Cholesterol); Study_ID: S040609,Other,,
78,952668,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: LIPASE (Triacylglycerol Lipase); Study_ID: S040609,Other,,
79,952669,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: POTASSIUM (Potassium); Study_ID: S040609,Other,,
80,955239,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: URATE (Urate); Study_ID: S040609,Other,,
81,955240,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: GLUC (Glucose); Study_ID: S040609,Other,,
82,955241,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: SODIUM (Sodium); Study_ID: S040609,Other,,
83,955242,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: AST (Aspartate Aminotransferase); Study_ID: S040609,Other,,
84,955243,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: CREAT (Creatinine); Study_ID: S040609,Other,,
85,955244,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: LDH (Lactate Dehydrogenase); Study_ID: S040609,Other,,
86,955245,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: CO2 (Carbon Dioxide); Study_ID: S040609,Other,,
87,955246,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: ALT (Alanine Aminotransferase); Study_ID: S040609,Other,,
88,955247,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: BILI (Bilirubin); Study_ID: S040609,Other,,
89,955248,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: PHOS (Phosphate); Study_ID: S040609,Other,,
90,955249,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: ALB (Albumin); Study_ID: S040609,Other,,
91,955250,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: ALP (Alkaline Phosphatase); Study_ID: S040609,Other,,
92,955251,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: PROT (Protein); Study_ID: S040609,Other,,
93,963951,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: ALB (Albumin); Study_ID: S040609,Other,,
94,963952,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: LIPASE (Triacylglycerol Lipase); Study_ID: S040609,Other,,
95,963953,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: SODIUM (Sodium); Study_ID: S040609,Other,,
96,963954,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: AST (Aspartate Aminotransferase); Study_ID: S040609,Other,,
97,963955,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: CHOL (Cholesterol); Study_ID: S040609,Other,,
98,963956,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: BUN (Blood Urea Nitrogen); Study_ID: S040609,Other,,
99,963957,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: CREAT (Creatinine); Study_ID: S040609,Other,,
100,963958,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: LDH (Lactate Dehydrogenase); Study_ID: S040609,Other,,
101,963959,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: ALT (Alanine Aminotransferase); Study_ID: S040609,Other,,
102,963960,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: POTASSIUM (Potassium); Study_ID: S040609,Other,,
103,963961,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: ALP (Alkaline Phosphatase); Study_ID: S040609,Other,,
104,963962,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: CHLORIDE (Chloride); Study_ID: S040609,Other,,
105,963963,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: CO2 (Carbon Dioxide); Study_ID: S040609,Other,,
106,963964,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: GLUC (Glucose); Study_ID: S040609,Other,,
107,963965,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: PHOS (Phosphate); Study_ID: S040609,Other,,
108,963966,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 5 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Biochemistry; Assay: BILI (Bilirubin); Study_ID: S040609,Other,,
